Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Caribbean small states,CSS,,,,,,,,,,,1.477793877,1.687245942,1.300840842,1.150220866,1.314899445,1.872166184,1.635844506,1.610575912,1.337857783,1.404988868,1.66899516,2.053515339,2.075890244,1.76269794,1.763138447,1.731722814,1.430890759,1.35757557,1.315901834,1.491746469,1.341310223,1.547118678,1.50663929,1.345072266,1.320177236,1.439256742,1.424034719,1.709961746,1.510440132,1.241797615,1.35799314,1.17328899,1.282298534,1.297724404,1.300152864,1.170285445,0.913522811,0.997907535,1.029971834,,,,
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.950854953,,,,,,,,,,1.282857441,1.263174828,1.106923737,0.929517832,0.769128223,0.914783397,0.72163269,0.497770674,,,,,,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,2.880684809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,,,,,,,,,1.830817119,2.05813222,1.926198329,1.787677893,1.905635674,0.835535696,1.034643551,1.752089379,1.794393609,1.884683892,1.636370419,1.801271389,1.292678612,1.436101103,1.500567585,1.378634907,1.395806446,1.407694661,1.433344045,1.38608077,1.465569827,1.364369619,1.187600604,1.285934744,1.312982831,1.338519491,1.038697677,1.057440316,1.258057143,1.224643787,0.971414043,1.023675965,1.041546948,1.272687479,1.182683754,1.103110833,1.015369339,1.238930939,0.9461523,0.850102558,0.774031251,0.733437006,0.737718972,0.74673529,0.743099911
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.736778229,2.880377875,2.726528086,2.267474468,2.250049494,2.253816487,2.054053958,2.069631857,1.875740288,1.993878865,1.778378182,1.574574176,1.527756656,1.378902062,1.305039629,1.273986792,1.240483466,1.358381613,1.503604037,1.48740623,1.44550658,1.343929216
Germany,DEU,10.22667598,9.827536697,10.0494649,8.88930797,8.355244765,7.807402361,8.002794439,7.578111227,6.452022262,6.847335908,5.75501061,5.570256841,4.602444983,4.333882875,4.420219464,4.568662379,4.396217843,4.142096129,4.014555252,3.72450063,3.614422847,3.731744881,3.825676249,3.491651711,3.503758115,3.617246557,3.701985242,3.664577493,3.157431812,2.663044557,2.702477191,2.345269749,2.65028596,2.781120895,2.250273421,2.230995003,2.12748982,1.88851702,1.739499518,1.726885611,1.740793634,1.577482558,1.474454607,1.504325835,1.413061885,1.369905861,1.283577641,1.264488157,1.518787875,1.60336277,1.490945475,1.471594549,1.405003199
Djibouti,DJI,1.03123313,,,,,,,,,,,,,,,,,,1.24048862,1.521668594,,10.59147521,12.31455797,10.08631853,10.84883185,10.00811013,9.845249467,12.51696835,11.3824186,10.37696123,,,,,,,,,,,,,,,,,,0.584774377,,,,,
Dominica,DMA,,,,,,,,,,,,,,,,2.65335427,1.498248349,2.25043019,4.525156951,1.933833711,,1.501154376,,1.605446661,1.399765307,1.489261688,1.577413976,1.726087785,1.565042982,1.735598602,,1.818071024,1.973051285,2.015623066,1.893154249,2.31273094,,1.966594172,2.17434936,1.838582595,1.664869262,1.518479873,1.832705312,1.3418119,2.02285646,1.912316593,1.804288385,1.55666583,2.662541754,,1.979210961,,
Denmark,DNK,5.911229601,6.243840845,6.416721576,6.348136624,6.08921267,5.432905377,5.184735335,4.979950874,4.901882602,4.272677676,4.704518154,5.047967727,4.505825226,3.631395743,3.996793375,4.012048832,4.246783013,4.552389444,4.551677234,4.250638296,4.119716475,4.389228648,3.628777014,3.434273833,3.582636145,3.639387497,3.846128302,3.671786823,3.32390721,2.988039796,3.054367715,2.775506126,3.107276311,2.961672594,2.594684933,3.002017994,2.916800437,2.755091895,2.656444291,2.620598308,2.533911702,2.734188773,2.462686404,2.243270792,2.30151577,2.233139514,1.846120662,2.012749549,2.272955863,2.332536325,2.145697065,2.44053527,2.61404167
Dominican Republic,DOM,,,,,,,,,,,0.994669756,2.832023709,3.34384853,2.291110427,3.485604249,2.277733257,2.204024568,2.675568884,2.317475334,1.654813456,1.955854068,1.945489082,1.737195841,1.797350842,,,,,,,,,,,,,,,,1.979371811,2.325082102,2.210796726,2.073383577,2.156489232,2.268657823,1.724173457,1.432836505,1.066688538,1.075462127,0.977563293,0.927369952,1.14713493,1.774904225
Algeria,DZA,,,,,3.125575141,,3.286309393,3.22748426,3.849312076,3.987829063,,3.138970517,4.309295041,2.077152323,1.961246491,2.658423384,1.953384473,2.221278681,3.153492204,2.901040583,3.031983537,3.740440029,3.924000059,3.601915375,3.35298484,3.661594012,5.024442415,4.906415616,4.718360236,3.177506502,2.907251774,3.699578651,3.337242195,3.176902983,2.981385244,3.123718215,2.625145231,2.589095392,2.594219362,2.357540721,2.115481881,2.411889688,1.909735858,1.697748057,2.080700842,2.257159462,1.609352017,1.462727208,1.607337354,1.515366751,1.480853114,1.44271417,1.56270789
East Asia & Pacific (developing only),EAP,,,,,,,,,,,,,,,,,,,,,,,6.036409979,4.808743926,4.371538028,5.531627209,6.767972762,5.953395659,5.083921093,5.155424078,4.374032457,3.134295174,4.003831035,4.556054846,4.406800597,4.267535994,3.800719194,3.859937549,4.150871641,4.011089067,3.661752871,3.444436832,3.408366268,3.200117512,3.247581457,3.094906686,2.955189462,2.841860575,3.11946565,3.505317283,3.205015458,3.009908433,2.907458531
East Asia & Pacific (all income levels),EAS,,,14.57457921,14.26306509,13.88181033,11.92308729,11.5516156,11.04236146,10.37775874,9.747259093,9.504024681,10.92495204,7.929297516,6.806575342,7.961502361,7.901697785,7.401675055,7.462805438,6.296729681,5.098234756,4.945374225,4.987745191,5.789838722,5.02219804,5.077853193,5.990706571,6.42655962,5.822436751,4.878404571,4.668636774,4.243520187,3.794740998,3.951523827,4.037686338,3.69071017,3.481321115,3.04859529,2.986411386,2.929408234,2.794674687,2.591379897,2.438609671,2.33084452,2.111987195,2.093866763,1.981937713,1.840952646,1.771241183,1.974122203,2.160255444,1.944175929,1.885863575,1.783506788
Europe & Central Asia (developing only),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.412214497,3.256772477,2.94744209,2.409148159,2.47515712,2.552470447,2.577088795,2.356952678,2.04936785,1.893743953,1.826023798,1.77731505,1.524787859,1.656614347,1.920438675,1.942659596,1.772350759,1.763779351,1.717992765
